ts,protocol,selected_protocol,source,device,message,word_count,closest_label,distance_m,direction,action_category,t_frame_received,t_detection_done,t_decision_started,t_message_generated,t_tts_requested,t_audio_started,t_audio_completed,detection_latency_ms,decision_latency_ms,speech_latency_ms,response_latency_ms,cascaded_latency_ms,improvement_pct,is_duplicate,overlap_skipped
1777903540.912,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Table,1.228,ahead,directional,1777903540.888,1777903540.79,1777903540.895,1777903540.896,1777903540.896,1777903540.912,1777903541.402,-97.92,0.06,16.25,23.96,2223.96,98.92,False,False
1777903542.132,adaptive,adaptive,auto,iphone,"Obstacle ahead, move right.",4,Person,1.782,ahead,directional,1777903542.124,1777903541.926,1777903542.132,1777903542.132,1777903542.132,,,-198.41,0.06,,,,,True,False
1777903543.9,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Book,0.541,ahead,stop,1777903543.89,1777903543.854,1777903543.896,1777903543.896,1777903543.896,1777903543.9,1777903545.293,-36.15,0.04,3.85,9.4,2209.4,99.57,False,False
1777903545.396,adaptive,adaptive,auto,iphone,Stop. Obstacle ahead.,3,Book,0.459,ahead,stop,1777903545.388,1777903545.293,1777903545.396,1777903545.396,1777903545.396,,,-94.63,0.03,,,,,True,False
1777903546.908,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Curtain,0.12,ahead,stop,1777903546.887,1777903546.879,1777903546.897,1777903546.897,1777903546.897,1777903546.908,1777903547.801,-8.67,0.09,10.25,20.33,2220.33,99.08,False,False
1777903550.991,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Book,0.632,ahead,stop,1777903550.955,1777903550.927,1777903550.963,1777903550.964,1777903550.964,1777903550.991,1777903552.466,-27.98,0.05,27.52,35.91,2235.91,98.39,False,False
1777903617.741,adaptive,adaptive,det,iphone,"Obstacle on your left, move right.",6,Woman,0.985,left,directional,1777903617.72,1777903617.708,1777903617.733,1777903617.733,1777903617.733,1777903617.741,1777903619.454,-11.82,0.04,8.22,21.48,2221.48,99.03,False,False
1777903645.348,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Person,1.651,ahead,directional,1777903645.328,1777903645.285,1777903645.336,1777903645.336,1777903645.336,1777903645.348,1777903647.628,-42.85,0.04,12.32,20.23,2220.23,99.09,False,False
1777903648.619,adaptive,adaptive,det,iphone,"Obstacle ahead, move right.",4,Table,0.834,ahead,directional,1777903648.606,1777903648.553,1777903648.611,1777903648.611,1777903648.611,1777903648.619,1777903650.158,-52.62,0.07,8.09,13.59,2213.59,99.39,False,False
1777903650.208,adaptive,adaptive,det,iphone,Stop. Obstacle ahead.,3,Table,0.771,ahead,stop,1777903650.186,1777903650.004,1777903650.192,1777903650.192,1777903650.192,1777903650.208,1777903651.712,-182.58,0.07,15.89,21.71,2221.71,99.02,False,False
